gene_id	gene_symbol	variance
ENSG00000005381.7	MPO	18.24997297676239
ENSG00000206047.2	DEFA1	17.00904190797033
ENSG00000206172.8	HBA1	15.991407328139065
ENSG00000244734.4	HBB	15.338874140954854
ENSG00000196565.15	HBG2	14.156798845799678
ENSG00000188536.13	HBA2	14.080598133772174
ENSG00000284931.1	AC104389.5	13.86305911472422
ENSG00000067048.17	DDX3Y	13.652101895980737
ENSG00000012223.12	LTF	13.45263822431912
ENSG00000197561.7	ELANE	13.142332030865605
ENSG00000004939.15	SLC4A1	12.799856227023808
ENSG00000239839.7	DEFA3	12.79309255499425
ENSG00000172232.10	AZU1	12.756236790214475
ENSG00000143546.10	S100A8	12.481325207134311
ENSG00000163220.11	S100A9	11.886725056667975
ENSG00000129824.16	RPS4Y1	11.832818129004524
ENSG00000240247.7	DEFA1B	11.767130309452115
ENSG00000203812.2	HIST2H2AA3	11.351800009266666
ENSG00000090382.6	LYZ	10.990136253915834
ENSG00000012817.15	KDM5D	10.937846586377512
ENSG00000158578.21	ALAS2	10.642784844559525
ENSG00000169429.11	CXCL8	10.600086851985129
ENSG00000196415.10	PRTN3	10.525963725910426
ENSG00000108821.13	COL1A1	10.2992305744905
ENSG00000133742.13	CA1	9.941759273423312
ENSG00000164692.17	COL1A2	9.888155570373698
ENSG00000286522.1	HIST1H3B	9.866436137540122
ENSG00000118113.12	MMP8	9.72931148958313
ENSG00000100448.4	CTSG	9.682903104943696
ENSG00000101425.13	BPI	9.678842563106144
ENSG00000168542.14	COL3A1	9.588025464020662
ENSG00000114374.13	USP9Y	9.474232398274882
ENSG00000121053.6	EPX	9.379252193364676
ENSG00000183878.15	UTY	9.289737706651128
ENSG00000186652.10	PRG2	9.237373745523294
ENSG00000167244.21	IGF2	9.165578064438964
ENSG00000130508.11	PXDN	9.15635436344189
ENSG00000169385.3	RNASE2	9.105429823425148
ENSG00000163221.9	S100A12	8.884489083394955
ENSG00000124575.6	HIST1H1D	8.835452129379924
ENSG00000137801.10	THBS1	8.812290785496042
ENSG00000115414.19	FN1	8.783440628466053
ENSG00000272398.6	CD24	8.776595263289765
ENSG00000197766.7	CFD	8.763445198711917
ENSG00000038427.16	VCAN	8.709719139827904
ENSG00000174059.16	CD34	8.511954617452966
ENSG00000223609.11	HBD	8.461323134029513
ENSG00000078399.18	HOXA9	8.415031377772587
ENSG00000100985.7	MMP9	8.355349936271107
ENSG00000213934.8	HBG1	8.29817676517213
ENSG00000085265.11	FCN1	8.244282636726954
ENSG00000107447.8	DNTT	8.226064302454493
ENSG00000185686.18	PRAME	8.188244738024375
ENSG00000124469.12	CEACAM8	8.183253005051602
ENSG00000124882.4	EREG	8.014827396533496
ENSG00000179869.15	ABCA13	8.00032974996454
ENSG00000198886.2	MT-ND4	7.997530974841404
ENSG00000169397.3	RNASE3	7.979130905525689
ENSG00000228253.1	MT-ATP8	7.956851950553025
ENSG00000172236.17	TPSAB1	7.913669239811763
ENSG00000186431.19	FCAR	7.899227290746899
ENSG00000168298.6	HIST1H1E	7.880450129205194
ENSG00000143995.20	MEIS1	7.86859204483184
ENSG00000164821.4	DEFA4	7.8683866591112235
ENSG00000198795.11	ZNF521	7.845804719946096
ENSG00000148346.12	LCN2	7.829025619177032
ENSG00000083857.14	FAT1	7.80505627805375
ENSG00000184357.4	HIST1H1B	7.7641281622166165
ENSG00000149516.14	MS4A3	7.689925393082841
ENSG00000272196.2	HIST2H2AA4	7.6519201498084
ENSG00000163554.14	SPTA1	7.527947243843295
ENSG00000185198.11	PRSS57	7.524215494417311
ENSG00000113140.11	SPARC	7.521969338802779
ENSG00000198763.3	MT-ND2	7.488415794473659
ENSG00000196549.10	MME	7.441931423076268
ENSG00000105205.7	CLC	7.409976646213612
ENSG00000128322.7	IGLL1	7.372069574324392
ENSG00000130635.15	COL5A1	7.360146226933076
ENSG00000198840.2	MT-ND3	7.339631735235738
ENSG00000104043.14	ATP8B4	7.259526291993382
ENSG00000010327.10	STAB1	7.256686599645423
ENSG00000115461.5	IGFBP5	7.210152381244574
ENSG00000142192.21	APP	7.196499351138263
ENSG00000067646.12	ZFY	7.170598805770499
ENSG00000029534.20	ANK1	7.091180088830803
ENSG00000203811.1	HIST2H3C	7.012283844169087
ENSG00000170893.4	TRH	7.004752073623195
ENSG00000187498.16	COL4A1	6.97886549426758
ENSG00000149294.16	NCAM1	6.958626875365105
ENSG00000134871.18	COL4A2	6.953025984445933
ENSG00000133454.15	MYO18B	6.920729428525251
ENSG00000136929.13	HEMGN	6.911489763477052
ENSG00000206177.7	HBM	6.904039582847093
ENSG00000086548.9	CEACAM6	6.889263103942209
ENSG00000169877.10	AHSP	6.881827115522655
ENSG00000070182.21	SPTB	6.859308644941974
ENSG00000124731.13	TREM1	6.857984873344906
ENSG00000119535.17	CSF3R	6.854313038711248
ENSG00000096006.11	CRISP3	6.835524496878718
ENSG00000253293.5	HOXA10	6.794780856542923
ENSG00000197629.5	MPEG1	6.7852936539304745
ENSG00000203852.3	HIST2H3A	6.780303087995874
ENSG00000166947.14	EPB42	6.771840471591915
ENSG00000198899.2	MT-ATP6	6.769666614264322
ENSG00000087245.13	MMP2	6.7225054911576025
ENSG00000008438.5	PGLYRP1	6.664145542718342
ENSG00000198888.2	MT-ND1	6.656877137359835
ENSG00000276368.1	HIST1H2AJ	6.623901823168351
ENSG00000142156.14	COL6A1	6.600245497460899
ENSG00000122025.14	FLT3	6.5918620526717175
ENSG00000112077.16	RHAG	6.590625566833231
ENSG00000121316.11	PLBD1	6.552760902332577
ENSG00000164047.5	CAMP	6.537453718730725
ENSG00000120708.17	TGFBI	6.530099299797226
ENSG00000196747.4	HIST1H2AI	6.481764096328831
ENSG00000196092.14	PAX5	6.477159272686767
ENSG00000160883.11	HK3	6.458706828327827
ENSG00000099725.14	PRKY	6.455708699750328
ENSG00000186529.16	CYP4F3	6.430762461014514
ENSG00000183508.5	TENT5C	6.421196976413634
ENSG00000182492.16	BGN	6.418832911954273
ENSG00000197249.13	SERPINA1	6.4066491345350665
ENSG00000287080.1	HIST1H3C	6.406496053282146
ENSG00000257335.8	MGAM	6.394872082188819
ENSG00000170180.22	GYPA	6.360922982915059
ENSG00000113389.16	NPR3	6.3252476667086714
ENSG00000120885.21	CLU	6.31266689702599
ENSG00000159339.13	PADI4	6.284179939005172
ENSG00000242265.5	PEG10	6.271385797795207
ENSG00000277775.1	HIST1H3F	6.255892672928954
ENSG00000116962.15	NID1	6.247169275285478
ENSG00000182985.17	CADM1	6.243364399807443
ENSG00000074181.9	NOTCH3	6.239179484867035
ENSG00000212907.2	MT-ND4L	6.222750786028553
ENSG00000163563.8	MNDA	6.20952669758572
ENSG00000163430.12	FSTL1	6.201737513062649
ENSG00000165168.7	CYBB	6.156308754819019
ENSG00000133048.13	CHI3L1	6.153956369650317
ENSG00000102854.16	MSLN	6.142826190438114
ENSG00000204936.10	CD177	6.135231859615368
ENSG00000131711.15	MAP1B	6.12714984275983
ENSG00000179344.16	HLA-DQB1	6.124663515634249
ENSG00000172037.14	LAMB2	6.122666021649391
ENSG00000007062.11	PROM1	6.113690324541346
ENSG00000274641.1	HIST1H2BO	6.095946596815191
ENSG00000018280.17	SLC11A1	6.093467719276043
ENSG00000278677.1	HIST1H2AM	6.092450188453384
ENSG00000185630.18	PBX1	6.08072977218254
ENSG00000198727.2	MT-CYB	6.079777146816455
ENSG00000282988.2	AL031777.3	6.073040115705416
ENSG00000112773.16	TENT5A	6.069613294471716
ENSG00000163359.15	COL6A3	6.06346217325613
ENSG00000143416.21	SELENBP1	6.0634599296450515
ENSG00000131016.17	AKAP12	6.031736451946915
ENSG00000198786.2	MT-ND5	6.029744441814177
ENSG00000100234.11	TIMP3	6.026376367014872
ENSG00000107562.16	CXCL12	6.007648887078663
ENSG00000152580.8	IGSF10	6.002961109707361
ENSG00000197405.8	C5AR1	5.996532938109814
ENSG00000122862.5	SRGN	5.995081922537895
ENSG00000155657.26	TTN	5.946226998602092
ENSG00000102837.7	OLFM4	5.930749939918613
ENSG00000135862.6	LAMC1	5.9292726960700595
ENSG00000197253.13	TPSB2	5.92094226937203
ENSG00000110848.8	CD69	5.913854794096097
ENSG00000185304.15	RGPD2	5.913853977209299
ENSG00000250722.6	SELENOP	5.9085399929828295
ENSG00000184260.5	HIST2H2AC	5.901567573492381
ENSG00000277443.3	MARCKS	5.894959529683801
ENSG00000123384.13	LRP1	5.893531463904602
ENSG00000198502.6	HLA-DRB5	5.890605622036267
ENSG00000171051.8	FPR1	5.883371974526765
ENSG00000197061.4	HIST1H4C	5.8616092016847166
ENSG00000118523.6	CCN2	5.854822272593053
ENSG00000277075.2	HIST1H2AE	5.844108586133104
ENSG00000197238.4	HIST1H4J	5.813838674745591
ENSG00000152104.12	PTPN14	5.81100681825953
ENSG00000120093.11	HOXB3	5.805123739401207
ENSG00000158258.16	CLSTN2	5.792918876883675
ENSG00000054598.9	FOXC1	5.787448964007565
ENSG00000154380.17	ENAH	5.785493926052675
ENSG00000105270.15	CLIP3	5.780249601747652
ENSG00000152192.8	POU4F1	5.777417360076194
ENSG00000157227.13	MMP14	5.777335904290093
ENSG00000123689.6	G0S2	5.766362608777969
ENSG00000106004.5	HOXA5	5.757811702173158
ENSG00000235568.6	NFAM1	5.751445175301046
ENSG00000142173.15	COL6A2	5.743234822162429
ENSG00000129951.18	PLPPR3	5.732897318053381
ENSG00000162722.9	TRIM58	5.72135936928863
ENSG00000198712.1	MT-CO2	5.70747887326054
ENSG00000041982.16	TNC	5.705730109835027
ENSG00000255587.9	RAB44	5.705588881493939
ENSG00000170458.14	CD14	5.697716769100084
ENSG00000177469.13	CAVIN1	5.683992648055587
ENSG00000277224.2	HIST1H2BF	5.673535370052308
ENSG00000169896.18	ITGAM	5.664432294058734
ENSG00000182885.17	ADGRG3	5.656414992091685
ENSG00000136826.15	KLF4	5.645536975546043
ENSG00000179348.11	GATA2	5.636085907219719
ENSG00000278705.1	HIST1H4B	5.631537614657038
