gene_id	gene_symbol	log_cpm_variance
ENSG00000131095.13	GFAP	32.49795183705686
ENSG00000120885.21	CLU	20.319666694542065
ENSG00000167244.21	IGF2	18.784323339701753
ENSG00000107447.8	DNTT	17.794474396520894
ENSG00000152583.12	SPARCL1	17.238117665800527
ENSG00000132692.19	BCAN	17.039690621667592
ENSG00000115461.5	IGFBP5	16.928615412919886
ENSG00000130294.16	KIF1A	16.92179890756001
ENSG00000106278.12	PTPRZ1	16.907389891310743
ENSG00000171885.15	AQP4	16.490234437156666
ENSG00000005381.7	MPO	16.371577136379422
ENSG00000109472.14	CPE	16.34634517857497
ENSG00000196092.14	PAX5	16.339055061523013
ENSG00000018625.14	ATP1A2	16.22799043405299
ENSG00000168309.18	FAM107A	15.879021091828346
ENSG00000132688.11	NES	15.49894979658153
ENSG00000148053.16	NTRK2	15.408455264678457
ENSG00000196549.10	MME	15.371633758680781
ENSG00000164692.17	COL1A2	14.690929409470783
ENSG00000067048.17	DDX3Y	14.526115117611626
ENSG00000168542.14	COL3A1	14.508020929021876
ENSG00000137285.10	TUBB2B	14.425828709752473
ENSG00000244734.4	HBB	14.248401132189667
ENSG00000150625.16	GPM6A	14.245400648838835
ENSG00000123560.14	PLP1	13.95485059757814
ENSG00000125462.17	C1orf61	13.81496807454557
ENSG00000118513.19	MYB	13.760758176683044
ENSG00000113657.13	DPYSL3	13.728301025401887
ENSG00000152661.9	GJA1	13.520336881353778
ENSG00000113140.11	SPARC	13.388889943664468
ENSG00000134871.18	COL4A2	13.372399343833345
ENSG00000187498.16	COL4A1	13.34283292352282
ENSG00000050165.17	DKK3	13.164701739257119
ENSG00000100721.11	TCL1A	13.139305603291728
ENSG00000142156.14	COL6A1	13.038799448741537
ENSG00000041982.16	TNC	13.006701327288427
ENSG00000105894.11	PTN	12.986925095626663
ENSG00000162512.16	SDC3	12.96392363212413
ENSG00000147588.7	PMP2	12.932395378351087
ENSG00000167483.18	FAM129C	12.92632958908543
ENSG00000108821.13	COL1A1	12.822645468686952
ENSG00000166349.9	RAG1	12.812375748125664
ENSG00000177455.14	CD19	12.725548797472198
ENSG00000115414.19	FN1	12.681288659094022
ENSG00000131711.15	MAP1B	12.627963318183202
ENSG00000188536.13	HBA2	12.588757165409381
ENSG00000206172.8	HBA1	12.554766159920538
ENSG00000175899.14	A2M	12.55449508645037
ENSG00000149294.16	NCAM1	12.50774715716724
ENSG00000130203.10	APOE	12.489925773857092
ENSG00000130287.14	NCAN	12.402257695161083
ENSG00000118785.14	SPP1	12.39581545307305
ENSG00000166033.13	HTRA1	12.37116312925868
ENSG00000134769.21	DTNA	12.365740890411898
ENSG00000004939.15	SLC4A1	12.303859312723272
ENSG00000187957.8	DNER	12.299067424899432
ENSG00000012817.15	KDM5D	12.279794527842606
ENSG00000079215.14	SLC1A3	12.264757142731996
ENSG00000196136.17	SERPINA3	12.124041758591966
ENSG00000109846.8	CRYAB	12.011546452483802
ENSG00000169862.19	CTNND2	11.958614255054458
ENSG00000110436.13	SLC1A2	11.915111158400014
ENSG00000182492.16	BGN	11.79073953950354
